Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),Deviation
2018-04-01 00:00:00,3603.64306640625,18.1639804840087,3600.0,194.872299194335,3.64306640625
2018-04-01 00:10:00,3603.22192382812,18.1613101959228,3600.0,195.501098632812,3.221923828119998
2018-04-01 00:20:00,3603.36499023437,17.7736206054687,3600.0,193.374298095703,3.364990234369998
2018-04-01 00:30:00,3603.15209960937,18.8053607940673,3600.0,190.116302490234,3.152099609369998
2018-04-01 00:40:00,3603.03295898437,18.9560203552246,3600.0,190.563705444335,3.032958984369998
2018-04-01 00:50:00,3603.01196289062,19.9450893402099,3600.0,192.063903808593,3.011962890619998
2018-04-01 01:00:00,3602.92602539062,20.3405895233154,3600.0,192.83039855957,2.926025390619998
2018-04-01 01:10:00,3603.05297851562,19.4691791534423,3600.0,191.57080078125,3.052978515619998
2018-04-01 01:20:00,3603.001953125,19.6019802093505,3600.0,187.884704589843,3.001953125
2018-04-01 01:30:00,3602.82006835937,19.8914108276367,3600.0,189.623397827148,2.820068359369998
2018-04-01 01:40:00,3602.6630859375,20.0134696960449,3600.0,187.600601196289,2.6630859375
2018-04-01 01:50:00,3602.85693359375,19.7250804901123,3600.0,187.619598388671,2.85693359375
2018-04-01 02:00:00,3602.837890625,21.1428108215332,3600.0,191.489501953125,2.837890625
2018-04-01 02:10:00,3603.09692382812,20.9986190795898,3600.0,194.00259399414,3.096923828119998
2018-04-01 02:20:00,3603.34399414062,19.603380203247,3600.0,192.416702270507,3.343994140619998
2018-04-01 02:30:00,3603.43310546875,19.5752601623535,3600.0,193.142395019531,3.43310546875
2018-04-01 02:40:00,3603.23999023437,18.6473693847656,3600.0,192.000396728515,3.239990234369998
2018-04-01 02:50:00,3603.18505859375,18.9792709350585,3600.0,189.375793457031,3.18505859375
2018-04-01 03:00:00,3603.14404296875,19.6833801269531,3600.0,188.76350402832,3.14404296875
2018-04-01 03:10:00,3603.10791015625,20.0590801239013,3600.0,189.099700927734,3.10791015625
2018-04-01 03:20:00,3603.4619140625,18.9783897399902,3600.0,187.718597412109,3.4619140625
2018-04-01 03:30:00,3603.48999023437,19.6112995147705,3600.0,185.748092651367,3.489990234369998
2018-04-01 03:40:00,3603.53002929687,19.3489208221435,3600.0,185.0126953125,3.530029296869998
2018-04-01 03:50:00,3603.13696289062,19.1403102874755,3600.0,184.056198120117,3.136962890619998
2018-04-01 04:00:00,3603.06201171875,17.963809967041,3600.0,184.375,3.06201171875
2018-04-01 04:10:00,3602.9541015625,19.4585609436035,3600.0,186.56509399414,2.9541015625
2018-04-01 04:20:00,3602.44189453125,20.5945491790771,3600.0,183.436096191406,2.44189453125
2018-04-01 04:30:00,3602.40795898437,20.7009601593017,3600.0,183.698699951171,2.407958984369998
2018-04-01 04:40:00,3602.54711914062,20.8471794128417,3600.0,185.684997558593,2.547119140619998
2018-04-01 04:50:00,3602.27490234375,21.3293094635009,3600.0,186.135101318359,2.27490234375
2018-04-01 05:00:00,3602.09204101562,18.19580078125,3600.0,184.490402221679,2.092041015619998
2018-04-01 05:10:00,3601.9619140625,17.6964397430419,3600.0,183.628097534179,1.9619140625
2018-04-01 05:20:00,3601.82397460937,19.189489364624,3600.0,181.82209777832,1.8239746093699978
2018-04-01 05:30:00,3601.7470703125,20.4148998260498,3600.0,183.927307128906,1.7470703125
2018-04-01 05:40:00,3602.333984375,20.5484104156494,3600.0,180.105804443359,2.333984375
2018-04-01 05:50:00,3601.958984375,17.9069595336914,3600.0,178.078399658203,1.958984375
2018-04-01 06:00:00,3602.8720703125,18.4780197143554,3600.0,178.031097412109,2.8720703125
2018-04-01 06:10:00,3602.73095703125,17.1872692108154,3600.0,178.75779724121,2.73095703125
2018-04-01 06:20:00,3602.89501953125,17.7397499084472,3600.0,179.646301269531,2.89501953125
2018-04-01 06:30:00,3603.01611328125,18.2719001770019,3600.0,181.103805541992,3.01611328125
2018-04-01 06:40:00,3602.8369140625,18.602460861206,3600.0,180.071395874023,2.8369140625
2018-04-01 06:50:00,3602.625,19.0418891906738,3600.0,183.419998168945,2.625
2018-04-01 07:00:00,3602.52905273437,19.0639705657958,3600.0,184.960006713867,2.529052734369998
2018-04-01 07:10:00,3602.84008789062,19.0869197845458,3600.0,182.991592407226,2.840087890619998
2018-04-01 07:20:00,3602.7119140625,18.4606990814208,3600.0,179.656600952148,2.7119140625
2018-04-01 07:30:00,3602.83911132812,18.5515308380126,3600.0,182.281799316406,2.839111328119998
2018-04-01 07:40:00,3602.81811523437,18.2061004638671,3600.0,180.685897827148,2.818115234369998
2018-04-01 07:50:00,3602.7109375,18.5405406951904,3600.0,187.145294189453,2.7109375
2018-04-01 08:00:00,3602.6708984375,17.4591903686523,3600.0,188.339797973632,2.6708984375
2018-04-01 08:10:00,3598.43505859375,17.8180904388427,3600.0,185.930297851562,1.56494140625
2018-04-01 08:20:00,3602.8330078125,19.9049491882324,3600.0,182.402206420898,2.8330078125
